date,station,hour,AMB_TEMP,CO,NO,NO2,NOx,O3,PM10,PM2.5,RAINFALL,RH,SO2,WD_HR,WIND_DIREC,WIND_SPEED,WS_HR
2015-01-01,Cailiao,00:00,16,0.74,1,15,16,35,171,76,0,57,9.2,74,77,3.5,3.6
2015-01-01,Cailiao,01:00,16,0.7,0.8,13,14,36,174,78,0,57,7.7,72,76,3.6,3.5
2015-01-01,Cailiao,02:00,15,0.66,1.1,13,14,35,160,69,0,58,6.6,74,69,3,2.9
2015-01-01,Cailiao,03:00,15,0.61,1.7,12,13,34,142,60,0,59,5.4,71,67,2.5,2.8
2015-01-01,Cailiao,04:00,15,0.51,2,11,13,34,123,52,0,59,4.8,67,66,3.1,2.9
2015-01-01,Cailiao,05:00,14,0.51,1.7,13,15,32,110,44,0,57,5,63,68,2.7,2.7
2015-01-01,Cailiao,06:00,14,0.51,1.9,13,15,30,104,40,0,57,5.3,71,72,2.9,3
2015-01-01,Cailiao,07:00,14,0.6,2.4,16,18,26,104,41,0,56,5.9,76,78,3.3,2.6
2015-01-01,Cailiao,08:00,14,0.62,3.4,16,19,26,109,44,0,53,6.2,69,55,3.1,2.9
2015-01-01,Cailiao,09:00,15,0.58,3.7,14,18,29,105,44,0,49,5.6,73,77,3.6,3
2015-01-01,Cailiao,10:00,14,0.53,3.5,12,15,33,95,38,0,47,4.6,74,75,4.3,4
2015-01-01,Cailiao,11:00,15,0.49,3.4,11,15,38,89,33,0,44,3.9,74,71,3.6,3.9
2015-01-01,Cailiao,12:00,15,0.45,3.3,11,14,38,82,27,0,44,3.1,69,74,4.4,3.6
2015-01-01,Cailiao,13:00,15,0.4,3.1,9.8,13,40,72,21,0,44,2.8,77,73,4.5,3.9
2015-01-01,Cailiao,14:00,14,0.4,3.2,11,14,39,68,19,0,46,2.6,73,71,3.8,3.8
2015-01-01,Cailiao,15:00,13,0.41,2.5,11,14,35,61,19,0,49,2.8,72,72,3.1,3.6
2015-01-01,Cailiao,16:00,13,0.44,2.9,14,17,31,56,16,0,49,2.7,70,68,3.7,3.2
2015-01-01,Cailiao,17:00,13,0.45,2.2,15,17,30,59,12,0,50,2.4,74,68,3.9,3.5
2015-01-01,Cailiao,18:00,12,0.41,2.3,16,18,30,54,12,0,51,2,68,63,3.5,3.2
2015-01-01,Cailiao,19:00,13,0.42,2.3,18,20,27,45,12,0,51,2.1,77,85,2.7,2.7
2015-01-01,Cailiao,20:00,13,0.31,1.8,13,15,30,43,9,0,54,1.7,72,74,3,3.1
2015-01-01,Cailiao,21:00,13,0.3,1.9,13,15,28,38,8,0,53,1.6,74,68,3,2.8
2015-01-01,Cailiao,22:00,13,0.32,2.1,14,16,27,33,9,0,53,1.5,75,89,3.3,2.6
2015-01-01,Cailiao,23:00,13,0.33,1.8,16,17,25,39,8,0,55,1.9,85,92,2.3,2.5
2015-01-02,Cailiao,00:00,13,0.29,2,13,15,30,44,14,0,55,2.1,82,74,2.4,2.4
2015-01-02,Cailiao,01:00,13,0.26,1.7,10,12,32,43,19,0,55,2.6,82,85,2.4,2.1
2015-01-02,Cailiao,02:00,13,0.23,1.7,7.9,9.5,33,40,15,0,56,2,82,70,2.3,2.4
2015-01-02,Cailiao,03:00,13,0.22,2,5.6,7.5,34,38,9,0,57,1.9,71,73,2.4,2.3
2015-01-02,Cailiao,04:00,13,0.24,2.1,5.9,8.1,32,42,7,0,57,1.8,68,71,1.6,2.4
2015-01-02,Cailiao,05:00,13,0.27,2.2,9,11,29,42,13,0,56,2.3,71,85,2.6,2
2015-01-02,Cailiao,06:00,13,0.34,2.4,17,19,21,40,17,0,57,2.9,80,76,2.4,2.3
2015-01-02,Cailiao,07:00,13,0.46,3.8,21,25,20,45,16,0,56,2.5,85,91,2.9,2.5
2015-01-02,Cailiao,08:00,14,0.45,5,18,23,23,49,18,0,52,2.3,81,84,3,3.1
2015-01-02,Cailiao,09:00,15,0.38,5.1,13,18,27,48,15,0,52,2.7,83,78,4,3.6
2015-01-02,Cailiao,10:00,16,0.34,4.5,8.9,13,32,44,14,0,50,2.9,79,76,4.3,3.9
2015-01-02,Cailiao,11:00,16,0.32,4.1,8.1,12,33,43,12,0,48,3.2,81,85,4.6,4.1
